"I have a certain amount of intelligence, and I can't really do much to change it.",0,0,1
My intelligence is something that I cannot change very much.,0,0,1
"I believe that no matter who you are, you can significantly change your intelligence level.",0,0,
I believe that you can't really change how intelligent you are.,0,0,1
I believe that you can always substantially change how intelligent you are.,0,0,
"You can learn new things, but you can't really change your basic intelligence.",0,0,1
"No matter how much intelligence you have, whether high or low, you can always change it to quite a degree.",0,0,
I can change even my basic intelligence level considerably.,0,0,
"People have a certain amount of talent, and you can't really do much to change it.",0,0,1
Your talent is something you can't change very much.,0,0,1
"No matter who you are, you can significantly change your level of talent.",0,0,
"To be honest, you can't really change how much talent you have.",0,0,1
You can always substantially change how much talent you have.,0,0,
"I can learn new things, but I can't really change my basic level of talent.",0,0,1
"No matter how much talent you have, you can always change it quite a bit.",0,0,
You can change even your basic talent level considerably.,0,0,
I can make unpopular or difficult decisions that affect other people if necessary.,0,1,
I don't think of myself as a strong person when dealing with life's challenges and difficulties.,0,1,1
"Under pressure, I stay focused and think clearly.",0,1,
"I prefer to take the lead in solving problems, rather than letting others make all the decisions.",0,1,
I feel in control of my life.,0,1,
I try to see the funny side of things when I am faced with problems.,0,1,
"Good or bad, I believe that most things happen for a reason.",0,1,
I don't believe that I can achieve my goals if there are problems.,0,1,1
"I work to attain my goals, no matter what problems I encounter along the way.",0,1,
Having to cope with stress can make me stronger.,0,1,
"On a whole, I am satisfied with myself.",1,2,
"At times, I think I'm no good at all.",1,2,1
I feel that I have a number of good qualities.,1,2,
I am able to do things as well as most people.,1,2,
I feel I do not have much to be proud of.,1,2,1
I certainly feel useless at times.,1,2,1
"I feel that I'm a person of worth, at least on an equal plane with others.",1,2,
I wish I could have more respect for myself.,1,2,1
"All in all, I am inclined to feel that I am a failure.",1,2,1
I take a positive attitude towards myself.,1,2,
I can always manage to solve difficult problems if I try hard enough.,1,3,
"If someone opposes me, I can find means and ways to get what I want.",1,3,
It is easy for me to stick to my aims and accomplish my goals.,1,3,
I am confident that I can efficiently deal with unexpected events.,1,3,
"Thanks to my resourcefulness, I know how to handle unforeseen situations.",1,3,
I can solve most problems if I invest the necessary effort.,1,3,
I can remain calm when facing difficulties because I can rely on my coping abilities.,1,3,
"When I am confronted with a problem, I can usually find several solutions.",1,3,
"If I'm in a bind, I can usually think of something to do.",1,3,
"No matter what comes my way, I'm usually able to handle it.",1,3,
It's fun to learn about unfamiliar subjects.,2,4,
It's fascinating to learn new information.,2,4,
I enjoy exploring new ideas.,2,4,
"If I get to learn something new, I like to find out more.",2,4,
It's fun to discuss abstract concepts.,2,4,
I paint an interesting picture of the future for my group.,2,5,
I'm always seeking new opportunities for my group.,2,5,
I inspire my group with my plan for the future.,2,5,
I have a clear understanding of where we are going.,2,5,
I'm able to get others committed to my dream.,2,5,
I would describe myself as someone who actively seeks as much information as I can in a new situation.,2,6,
"When I am participating in an activity, I tend to get so involved that I lose track of time.",2,6,
I frequently find myself looking for new opportunities to grow as a person.,2,6,
I am not the type of person who probes deeply into new situations or things.,2,6,1
"When I am actively interested in something, it takes a great deal to interrupt me.",2,6,
My friends would describe me as someone who is 'extremely intense' when in the middle of doing something.,2,6,
"Everywhere I go, I am out looking for new things or experiences.",2,6,
I am sensitive to what others are not saying.,3,7,
I am aware of what others imply but do not say.,3,7,
I understand how others feel.,3,7,
I listen for more than just the spoken words.,3,7,
I assure others that I will remember what they say.,3,7,
I summarise points of agreement and disagreement when appropriate.,3,7,
I keep track of points others make.,3,7,
I assure others that I am listening by using verbal acknowledgements.,3,7,
I assure others that I am receptive to their ideas.,3,7,
I ask questions that show my understanding of others' positions.,3,7,
"I show others that I am listening through my body language (e.g., head nods)",3,7,
How much do you contribute ideas/information/resources?,3,8,
How participatory are you?,3,8,
What is your typical standard of work quality?,3,8,
How well do you manage your time?,3,8,
How much do you support the team?,3,8,
How prepared are you usually?,3,8,
How do you participate in group problem solving?,3,8,
How aware are you of the team dynamics and your impact on the team?,3,8,
How supportive are you in a team?,3,8,
How flexible are you between roles?,3,8,
How self-reflective are you?,3,8,
I am able to finish all my work during a set amount of time.,4,9,
I know all the tasks I have to accomplish for the day.,4,9,
I am able to plan and set goals for my projects.,4,9,
I can set aside distractions and focus on what I am doing.,4,9,
I set up a schedule for tasks and projects to be done.,4,9,
"I would have a hard time sticking with a special, healthy diet.",4,10,1
I have always tried to eat healthy because it pays off in the long run.,4,10,
I have given up physical pleasure or comfort to reach my goals.,4,10,
"When faced with a physically demanding chore, I always tried to put off doing it.",4,10,1
I try to consider how my actions will affect other people in the long-term.,4,10,
I do not consider how my behaviour affects other people.,4,10,1
I try to spend my money wisely.,4,10,
I have always felt like my hard work would pay off in the end.,4,10,
I cannot be trusted with money.,4,10,1
I cannot motivate myself to accomplish long-term goals.,4,10,1
